Category,Content ID,Year,Quarter,Month,Day,Reaction type,Count of Index,Score,Sentiment,Type
Animals,07f88a73-aef2-45fd-8b5d-418e448b853d,2020,Qtr 4,October,17,Intrigued,1,45,Positive,Gif
Animals,07f88a73-aef2-45fd-8b5d-418e448b853d,2020,Qtr 4,December,19,Like,1,50,Positive,Gif
Animals,07f88a73-aef2-45fd-8b5d-418e448b853d,2020,Qtr 4,December,27,Hate,1,5,Negative,Gif
Animals,07f88a73-aef2-45fd-8b5d-418e448b853d,2021,Qtr 1,January,19,Hate,1,5,Negative,Gif
Animals,07f88a73-aef2-45fd-8b5d-418e448b853d,2021,Qtr 1,February,12,Adore,1,72,Positive,Gif
Animals,07f88a73-aef2-45fd-8b5d-418e448b853d,2021,Qtr 1,March,2,Cherish,1,70,Positive,Gif
Animals,07f88a73-aef2-45fd-8b5d-418e448b853d,2021,Qtr 1,March,12,Cherish,1,70,Positive,Gif
Animals,07f88a73-aef2-45fd-8b5d-418e448b853d,2021,Qtr 2,May,24,Scared,1,15,Negative,Gif
Animals,07f88a73-aef2-45fd-8b5d-418e448b853d,2021,Qtr 2,May,31,Love,1,65,Positive,Gif
Animals,0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,2020,Qtr 3,July,5,Hate,1,5,Negative,Photo
Animals,0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,2020,Qtr 3,July,17,Heart,1,60,Positive,Photo
Animals,0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,2020,Qtr 3,August,17,Scared,1,15,Negative,Photo
Animals,0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,2020,Qtr 3,August,18,Interested,1,30,Positive,Photo
Animals,0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,2020,Qtr 3,August,21,Disgust,1,0,Negative,Photo
Animals,0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,2020,Qtr 3,August,25,Adore,1,72,Positive,Photo
Animals,0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,2020,Qtr 3,September,5,Heart,1,60,Positive,Photo
Animals,0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,2020,Qtr 3,September,21,Intrigued,1,45,Positive,Photo
Animals,0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,2020,Qtr 3,September,26,Indifferent,1,20,Neutral,Photo
Animals,0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,2020,Qtr 4,October,1,Heart,1,60,Positive,Photo
Animals,0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,2020,Qtr 4,November,1,Interested,1,30,Positive,Photo
Animals,0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,2020,Qtr 4,November,17,Heart,1,60,Positive,Photo
Animals,0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,2020,Qtr 4,December,28,Super Love,1,75,Positive,Photo
Animals,0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,2021,Qtr 1,January,17,Hate,1,5,Negative,Photo
Animals,0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,2021,Qtr 1,January,22,Interested,1,30,Positive,Photo
Animals,0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,2021,Qtr 1,February,21,Peeking,1,35,Neutral,Photo
Animals,0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,2021,Qtr 1,February,26,Heart,1,60,Positive,Photo
Animals,0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,2021,Qtr 1,March,3,Love,1,65,Positive,Photo
Animals,0c2bd955-f00f-4c2f-8999-7cc0ada4b3e7,2021,Qtr 1,March,7,Scared,1,15,Negative,Photo
